,S.No.,Name,Market Cap(Cr),Sales Quarterly(Cr),Categeory
0,1,Reliance Inds.,583436.72,99810,w
1,2,TCS,563709.84,30904,w
2,3,HDFC Bank,482953.59,20581.27,w
3,4,ITC,320985.27,9772.02,w
4,5,H D F C,289497.37,16840.51,w
5,6,Hind. Unilever,288265.26,8590,w
6,7,Maruti Suzuki,263493.81,19283.2,w
7,8,Infosys,248320.35,17794,w
8,9,O N G C,239981.5,22995.88,w
9,10,St Bk of India,232763.33,57014.08,w
10,11,ICICI Bank,203802.35,13665.35,w
11,12,Kotak Mah. Bank,199253.77,6390.71,w
12,13,Coal India,192677.98,21643.28,w
13,14,Larsen & Toubro,180860.74,28747.45,w
14,15,I O C L,178017.48,110666.93,w
15,16,Bharti Airtel,167131.29,20318.6,w
16,17,Axis Bank,136380.76,11721.55,w
17,18,NTPC,135390.53,20774.37,w
18,19,Sun Pharma.Inds.,134241.36,6653.23,w
19,20,Hind.Zinc,133266.56,5922,w
20,21,Wipro,131840.57,13669,w
21,22,HCL Technologies,126335.27,12809,w
22,23,Vedanta,122184.17,24361,w
23,24,Tata Motors,117071.87,74156.07,w
24,25,UltraTech Cem.,113692.87,8019.24,w
25,26,Asian Paints,108044.04,4260.52,w
26,27,Power Grid Corpn,102016.01,7506.95,w
27,28,B P C L,98278,60616.36,w
28,29,IndusInd Bank,97379.96,4286.78,w
29,30,Bajaj Fin.,94476.77,3540.63,w
30,31,Bajaj Auto,88252.6,6369.34,w
31,32,M & M,88142.35,11577.78,w
32,33,HDFC Stand. Life,87358.23,9734.9,w
33,34,Adani Ports,81781.89,2688.85,w
34,35,Bajaj Finserv,79795.11,7665.4,w
35,36,GAIL (India),78670.97,14414.34,w
36,37,Avenue Super.,74066.35,4094.82,w
37,38,Titan Company,73886,4274.84,w
38,39,JSW Steel,73870.26,17861,w
39,40,Grasim Inds,73532.62,15291.42,w
40,41,Tata Steel,73376.14,32464.14,w
41,42,Eicher Motors,73311.41,2269.01,w
42,43,Nestle India,73015.49,2601.46,w
43,44,Godrej Consumer,71859.82,2630.3,w
44,45,Yes Bank,71028.13,5070.3,w
45,46,Hero Motocorp,69448.66,7305.49,w
46,47,Motherson Sumi,68590.33,14397.85,w
47,48,SBI Life Insuran,67465,9569.97,w
48,49,General Insuranc,66316.32,8557.68,w
49,50,Bharti Infra.,61776.92,1278.3,w
50,51,Dabur India,60015,1966.44,w
51,52,Bosch,59204.28,3071.92,w
52,53,Shree Cement,58987.08,2296.23,w
53,54,New India Assura,58108.48,5074.02,w
54,55,H P C L,58034.78,57474.25,w
55,56,ICICI Pru Life,57748.98,13555.32,w
56,57,Britannia Inds.,56837.2,2567.48,w
57,58,Tech Mahindra,56244.26,7775.96,w
58,59,Hindalco Inds.,55854.68,11022.81,w
59,60,Zee Entertainmen,54817.89,1838.07,w
60,61,Cairn India,53528.57,1278.3,w
61,62,Indiabulls Hous.,52781.67,1278.3,w
62,63,Ambuja Cem.,52361.46,1278.3,w
63,64,Interglobe Aviat,48621.37,1278.3,w
64,65,Cipla,48577.43,1278.3,w
65,66,Piramal Enterp.,47483.97,1278.3,w
66,67,United Spirits,46725.05,1278.3,w
67,68,Pidilite Inds.,45855.5,1278.3,w
68,69,Siemens,44239.04,1278.3,w
69,70,Cadila Health.,41876.19,1278.3,w
70,71,NMDC,41415.33,1278.3,w
71,72,DLF,40159.35,1278.3,w
72,73,Marico,39813.84,1278.3,v
73,74,Ashok Leyland,39047.57,1278.3,v
74,75,Bharat Electron,37776.23,1278.3,v
75,76,ICICI Lombard,37219.22,1278.3,v
76,77,Lupin,36878.85,1278.3,v
77,78,Petronet LNG,36615,1278.3,v
78,79,Aditya Birla Cap,36215.92,1278.3,v
79,80,Dr Reddy's Labs,35893.55,1278.3,v
80,81,Sun TV Network,35824.26,1278.3,v
81,82,S A I L,35729.04,15323.65,v
82,83,UPL,35349.58,1278.3,v
83,84,Oracle Fin.Serv.,34620.19,1278.3,v
84,85,Bharat Forge,34397.69,1278.3,v
85,86,Biocon,34347,1278.3,v
86,87,B H E L,34162.38,1278.3,v
87,88,Aurobindo Pharma,33676.52,1278.3,v
88,89,Bank of Baroda,33364.23,11303.24,v
89,90,Idea Cellular,33047.33,1278.3,v
90,91,A B B,31983.33,1278.3,v
91,92,Havells India,31798.18,1278.3,v
92,93,Container Corpn.,31450.56,1278.3,v
93,94,TVS Motor Co.,30919.51,1278.3,v
94,95,ACC,30803.68,1278.3,v
95,96,Bajaj Holdings,30305.94,1278.3,v
96,97,P & G Hygiene,30202.12,1278.3,v
97,98,MRF,30030.01,1278.3,v
98,99,Shriram Trans.,29327.64,1278.3,u
99,100,Colgate-Palm.,9885.05,1278.3,q
100,101,L&T Fin.Holdings,28932.43,2630.17,u
101,102,Punjab Natl.Bank,28270.22,12175.48,u
102,103,NHPC Ltd,28059.24,1497.93,u
103,104,Power Fin.Corpn.,27905.66,6194.77,u
104,105,United Breweries,27797.69,1197.1,u
105,106,Oil India,27404.15,2852.55,u
106,107,Rural Elec.Corp.,27382.24,5498.45,u
107,108,GlaxoSmith C H L,27340.89,1034.67,u
108,109,M & M Fin. Serv.,26928.37,2182.45,u
109,110,Divi's Lab.,26915.86,1037.88,u
110,111,Kansai Nerolac,26409.76,1145.01,u
111,112,Alkem Lab,25957.56,1422.52,u
112,113,LIC Housing Fin.,25880.98,3738.1,u
113,114,Future Retail,25859.25,4693.39,u
114,115,Page Industries,25383.03,621.03,u
115,116,Dalmia Bhar.,25288.97,2090.54,u
116,117,IIFL Holdings,24788.54,1612.14,t
117,118,L & T Infotech,24626.1,1883.8,t
118,119,Aditya Bir. Nuv.,24592.21,4287.12,t
119,120,Emami,23720.37,756.64,t
120,121,Cummins India,23562,1354.67,t
121,122,Berger Paints,23537.8,1338.63,t
122,123,Rajesh Exports,23495.54,41304.84,t
123,126,Tata Power Co.,23369.24,6949.91,t
124,127,3M India,23101.19,645.77,t
125,128,Jindal Steel,23094.39,6992.56,t
126,129,Edelweiss.Fin.,22915.42,2069.45,t
127,130,Gillette India,21976.74,407.52,t
128,131,Adani Enterp.,21776.04,9938.37,t
129,132,Adani Transmissi,21677.26,1782.29,t
130,133,Balkrishna Inds,21372.18,1106.31,t
131,134,Cholaman.Inv.&Fn,20832.4,1404.33,t
132,135,Indraprastha Gas,20779.52,1183.9,t
133,136,M R P L,20750.78,14100.98,t
134,137,Glaxosmi. Pharma,20489.35,703.91,t
135,138,PNB Housing,20037.85,1438.49,t
136,139,RBL Bank,19748.79,1150.79,s
137,140,Castrol India,18803.22,970.3,s
138,141,Canara Bank,18590.66,10774.64,s
139,142,GRUH Finance,18535.09,428.47,s
140,143,KIOCL,18534.15,442.81,s
141,144,Voltas,18453.44,1374.67,s
142,145,Godrej Inds.,18298.09,2458.48,s
143,146,Whirlpool India,18254.06,958.01,s
144,147,Sundaram Finance,18159.85,677.23,s
145,148,Federal Bank,18086.81,2501.2,s
146,149,Tata Comm,17963.55,4114.63,s
147,150,Endurance Tech.,9885.05,1278.3,q
148,151,Tata Chemicals,17941.47,2573.91,s
149,152,Exide Inds.,17930.75,2276.54,s
150,153,IDFC Bank,17762.77,2283.72,s
151,154,NBCC,17712,1321.5,s
152,155,IDBI Bank,17559.35,5797.2,s
153,156,The Ramco Cement,17246.58,1056.36,s
154,157,Dewan Hsg. Fin.,17097.54,2631.6,s
155,158,MphasiS,16728.78,1660.69,s
156,159,Apollo Hospitals,16683.97,1896.14,s
157,160,Reliance Nip.Lif,16655.58,394,s
158,161,Tata Global,16589.24,1730.39,s
159,162,Godrej Propert.,16545.51,627.03,s
160,163,AU Small Finance,16453.67,464.17,s
161,164,Indian Hotels,16150.13,1197.26,s
162,165,Motil.Oswal.Fin.,16108.15,728.63,s
163,166,H U D C O,16065.25,1064.49,s
164,167,Oberoi Realty,16044.51,356.2,s
165,168,Indian Bank,15739.16,4354.22,s
166,169,SJVN,15512.35,436.58,s
167,170,Bank of India,15339.87,9334.84,s
168,171,Supreme Inds.,15248.94,1278.3,s
169,172,Muthoot Finance,15226.72,1553.71,s
170,173,NLC India,15201.61,1706.48,s
171,176,Info Edg.(India),14845.05,1278.3,r
172,177,Glenmark Pharma.,14785.53,2203.67,r
173,178,Jubilant Life,14775.08,2067.76,r
174,179,Crompton Gr. Con,14638.57,938.19,r
175,180,Honeywell Auto,14526.24,721.48,r
176,181,Natco Pharma,14456.9,1278.3,r
177,182,PC Jeweller,14334.81,2644.89,r
178,183,Quess Corp,14330.19,1583.95,r
179,184,CRISIL,14164.81,441.13,r
180,185,WABCO India,13843.64,649.91,r
181,186,Amara Raja Batt.,13774.32,1553.46,r
182,189,Sterlite Tech.,13743.95,835.18,r
183,190,AIA Engg.,13593.35,572.16,r
184,191,KRBL,13492.55,783.51,r
185,192,Max Financial,13401.76,1278.3,r
186,193,Indiabulls Vent.,13396.15,238.43,r
187,194,Century Textiles,13369.97,2069.39,r
188,195,Jubilant Food.,13178.43,795.17,r
189,196,Bayer Crop Sci.,13166.76,1278.3,r
190,197,Graphite India,13129.9,933.06,r
191,198,JSW Energy,13104,1993.2,r
192,199,Central Bank,13046.18,6026.55,r
193,200,Natl. Aluminium,9885.05,1278.3,q
194,201,CESC,12996.56,1706,r
195,202,Shri.City Union.,12995.31,1338.09,r
196,203,L&T Technology,12942.25,1278.3,r
197,204,Rain Industries,12655.17,3050.81,r
198,205,Torrent Power,12599.37,2754.64,r
199,206,Dilip Buildcon,12526.06,1942.12,r
200,207,TI Financial,12507.91,886.68,r
201,208,JM Financial,12382.64,837.73,r
202,209,Adani Power,12091.5,4844.46,r
203,210,Reliance Power,12033.99,2494.65,r
204,211,Reliance Capital,11966.83,4749,r
205,212,Syngene Intl.,11950,1278.3,r
206,213,Abbott India,11924.12,881.49,r
207,214,Hatsun AgroProd.,11896.52,1012.94,r
208,215,Symphony,11882.55,217.63,r
209,216,Gujarat Gas,11759.77,1571.33,r
210,217,Reliance Infra.,11737.24,5861.04,r
211,218,Aditya Bir. Fas.,11718.17,1855,r
212,219,Ajanta Pharma,11651.8,587.05,r
213,220,P I Inds.,11564.22,537.74,r
214,221,City Union Bank,11554.4,1278.3,r
215,222,Varun Beverages,11498.3,1278.3,r
216,223,Mindtree,11438.78,1377.7,r
217,224,Prestige Estates,11353.13,1272.3,r
218,225,Future Consumer,11203.15,1278.3,r
219,226,Sundram Fasten.,11202.53,1278.3,r
220,227,Sanofi India,11182.45,1278.3,r
221,228,Guj.St.Petronet,11064.74,1278.3,r
222,229,Godrej Agrovet,10918.75,1278.3,r
223,230,Finolex Cables,10900.75,1278.3,r
224,231,Bombay Burmah,10864.53,1278.3,r
225,232,SRF,10842.62,1397.06,r
226,233,GE T&D India,10778.42,1438.55,r
227,234,Alembic Pharma,10764.29,1278.3,r
228,235,SPARC,10755.13,1278.3,r
229,236,GMR Infra.,10653.44,2072.29,r
230,237,HEG,10630.76,1278.3,r
231,238,Trent,10589.27,1278.3,r
232,239,Engineers India,10565.56,1278.3,r
233,240,Avanti Feeds,10558.13,1278.3,r
234,241,Pfizer,10508.48,1278.3,r
235,242,Escorts,10450.56,1205.03,r
236,243,Tata Motors-DVR,10442.09,7769.67,r
237,244,Blue Dart Exp.,10422.45,1278.3,r
238,245,Indbull.RealEst.,10338.4,2100.13,r
239,246,ERIS Lifescience,10289.81,1278.3,r
240,247,Arvind Ltd,10247.7,2705.75,r
241,248,Sundaram Clayton,10074.36,1278.3,r
242,249,Hexaware Tech.,9885.05,1004.83,q
243,250,Mahanagar Gas,9885.05,1278.3,q
244,255,SKF India,9569.14,1278.3,q
245,256,Delta Corp,9531.57,1278.3,q
246,257,Union Bank (I),9528.82,8260.47,q
247,258,TV18 Broadcast,9463.27,1278.3,q
248,259,Minda Inds.,9457.04,1056.16,q
249,260,Solar Inds.,9317.76,1278.3,q
250,261,Kajaria Ceramics,9306.54,661.16,q
251,262,Astral Poly,9162.14,528.54,q
252,263,Bata India,9145.38,674,q
253,264,Phoenix Mills,9097.33,416.61,q
254,267,BASF India,8778.35,1278.74,q
255,268,DCM Shriram,8681.95,1783.73,q
256,269,Infibeam Incorp.,8646.54,213.48,q
257,270,Aegis Logistics,8613.86,1442.08,q
258,271,Mahindra CIE,8587.04,1278.3,q
259,272,Jet Airways,8539.88,6086.2,q
260,273,SpiceJet,8458.24,2081.95,q
261,274,Thomas Cook (I),8440.65,3005.45,q
262,275,Guj Fluorochem,8439.77,968.97,q
263,276,Wockhardt,8428.58,1005.3,q
264,277,Akzo Nobel,8389.47,711.99,q
265,278,I D F C,8380.86,2789.58,q
266,279,Security & Intel,8247.08,1537.72,q
267,280,Asahi India Glas,8183.96,640.38,q
268,281,TTK Prestige,8153.33,457.97,q
269,282,ITI,8124.6,250.97,q
270,283,Karur Vysya Bank,8065.7,1422.32,q
271,284,Vardhman Textile,8023.74,1647.98,q
272,285,Fortis Health.,7966.43,1156.61,q
273,286,Ipca Labs.,7943.03,859.21,q
274,287,Sheela Foam,7815.74,532.21,q
275,288,IRB Infra.Devl.,7812.73,1296.19,q
276,289,Atul,7789.01,803.68,q
277,290,Finolex Inds.,7784.17,722.72,q
278,291,Dish TV,7765.91,740.77,q
279,292,Rel. Comm.,7702.01,1144,q
280,293,Dr Lal Pathlabs,7550.78,262.7,q
281,294,OCL India,7453.05,859.24,q
282,295,NCC,7439.01,2780.26,q
283,296,Relaxo Footwear,7251.91,457.5,q
284,297,J K Cements,7230.76,1126.11,q
285,298,G N F C,7208.38,1590.89,q
286,299,Cochin Shipyard,7154.99,615.04,q
287,300,Bajaj Corp,9885.05,1278.3,q
288,301,Birla Corpn.,7137.67,1389.32,q
289,302,Future Lifestyle,7009.13,1188.97,q
290,303,Century Ply.,6966.23,509.93,q
291,304,Blue Star,6952.99,981.3,q
292,305,Kalpataru Power,6950.23,1417.37,q
293,306,Suzlon Energy,6942.31,1193.06,q
294,307,Cyient,6921.97,983.3,q
295,308,Hind.Copper,6902.14,440.14,q
296,309,Guj Pipavav Port,6864.85,162.68,q
297,310,Carborundum Uni.,6838.18,611.59,q
298,311,Can Fin Homes,6811.5,392.1,q
299,312,Sadbhav Engg.,6795.06,2153.34,q
300,313,Advanta,6742.41,361.68,q
301,314,Capital First,6710.63,987.64,q
302,315,Lak. Mach. Works,6654.81,542.42,q
303,316,Himadri Specialt,6646.41,500.08,q
304,317,Coffee Day Enter,6601.62,965.3,q
305,318,PVR,6591.31,557.25,q
306,319,Chambal Fert.,6542.79,2330.1,q
307,320,Vijaya Bank,6531.58,3135.23,q
308,321,Welspun India,6520.67,1397.95,q
309,322,CEAT,6476.26,1574.15,q
310,323,Strides Shasun,6469.51,749.04,q
311,324,Narayana Hrudaya,6379.12,553.84,q
312,325,Jyothy Lab.,6324.62,431.21,q
313,326,Johnson Con. Hit,6209.11,377.4,q
314,327,Prism Cement,6176.23,1278.3,q
315,328,Tata Elxsi,6153.54,345.54,q
316,329,Syndicate Bank,6086.37,5375.57,q
317,330,D B Corp,6059.97,598.58,q
318,331,Jain Irrigation,6019.89,1889.63,q
319,332,Persistent Sys,5996.4,791.89,q
320,333,Redington India,5896.54,11728.4,q
321,334,Sunteck Realty,5865.04,201.5,q
322,335,Raymond,5863.1,1484.24,q
323,336,MOIL,5840.29,299.8,q
324,337,Bombay Dyeing,5823.25,619.93,q
325,338,GE Shipping Co,5802.66,584.42,q
326,339,Grindwell Norton,5706.51,365.42,q
327,340,EID Parry,5652.33,3557.94,q
328,341,I O B,5591.02,4254.68,q
329,342,Galaxy Surfact.,5567.11,826.95,q
330,343,Laurus Labs,5502.94,473.77,q
331,344,Guj Alkalies,5498.45,617.61,q
332,345,GE Power,5497.4,1278.3,q
333,346,Timken India,5495.76,278.58,q
334,347,C P C L,5427.82,8587.17,q
335,348,Dishman Carbogen,5416.39,459.82,q
336,349,St Bk of Bikaner,5402.95,2262.28,q
337,350,ISGEC Heavy,9885.05,1278.3,q
338,351,MMTC,5300,1278.3,q
339,352,IFB Inds.,5293.53,531.74,q
340,353,eClerx Services,5259.14,339.89,q
341,354,Sobha,5224.11,691.9,q
342,355,Kirloskar Oil,5207.77,684.61,q
343,356,G S F C,5200.13,1537.45,q
344,357,CG Power & Indu.,5151.85,1516.08,q
345,358,Westlife Develop,5145.88,305.19,q
346,359,K P R Mill Ltd,5145.36,714.51,q
347,360,Tube Investments,5139.43,1274.21,q
348,361,Bajaj Electrical,5127.38,1145.13,q
349,362,VST Inds.,5109.25,238.97,q
350,363,BEML Ltd,5089.87,731.51,q
351,364,FDC,5084.19,248.77,q
352,365,DCB Bank,5080.5,610.78,q
353,366,Star Cement,5072.67,377.43,q
354,367,Netwrk.18 Media,5067.23,366.02,q
355,368,Gulf Oil Lubric.,5020.44,355.95,q
356,369,UCO Bank,5012.59,3449.55,q
357,370,Jagran Prakashan,4995.05,598.07,p
358,371,Elgi Equipment,4954.08,415.42,p
359,372,JK Lakshmi Cem.,4931.55,837.41,p
360,373,Zydus Wellness,4921.45,132.4,p
361,374,Equitas Holdings,4886.09,429.86,p
362,375,India Cements,4885.75,1213.08,p
363,376,Dishman Pharma.,4861.2,534.22,p
364,377,South Ind.Bank,4856.71,1576.96,p
365,378,Polaris Consulta,4830.44,680.07,p
366,379,V I P Inds.,4819.63,337.99,p
367,380,APL Apollo,4775.03,1314.38,p
368,381,Sadbhav Infra.,4735.67,1278.3,p
369,382,Jindal Stain.,4726.91,2988.86,p
370,383,Swan Energy,4721.49,1278.3,p
371,384,NIIT Tech.,4658.2,1278.3,p
372,385,Caplin Point Lab,4600.73,1278.3,p
373,386,Indian Energy Ex,4595.7,1278.3,p
374,387,Shoppers St.,4558.06,1278.3,p
375,388,Godfrey Phillips,4512.29,1278.3,p
376,389,Jindal Stain .Hi,4498.09,2438.58,p
377,390,R C F,4493.52,1985.06,p
378,391,Rallis India,4493.2,1278.3,p
379,392,Stand.Chart.PLC,4487.31,1278.3,p
380,393,G M D C,4456.77,1278.3,p
381,394,Manpasand Bever.,4406.8,1278.3,p
382,395,Tata Inv.Corpn.,4401.66,1278.3,p
383,396,Essel Propack,4371.24,1278.3,p
384,397,Allcargo Logist.,4369.69,1479.91,p
385,398,Radico Khaitan,4358.48,1278.3,p
386,399,Cera Sanitary.,4356.9,1278.3,p
387,400,BSE,9885.05,1278.3,q
388,401,Forbes & Co,4331.82,1278.3,p
389,402,S B T,4328.47,2365.94,p
390,403,KNR Construct.,4325.39,1278.3,p
391,404,PNC Infratech,4307.29,1278.3,p
392,405,Greenply Inds.,4295.02,1278.3,p
393,406,Ujjivan Fin.Ser.,4293.42,1278.3,p
394,407,Monsanto India,4291.43,1278.3,p
395,408,Vinati Organics,4279.07,1278.3,p
396,409,Jindal Saw,4278.31,1278.3,p
397,410,Lux Industries,4269.78,1278.3,p
398,411,Linde India,4198.33,1278.3,p
399,412,Ratnamani Metals,4194.31,1278.3,p
400,413,Cox & Kings,4179.29,1356.07,p
401,414,Omaxe,4168.29,1278.3,p
402,415,Ashoka Buildcon,4166.87,1278.3,p
403,416,Time Technoplast,4156.58,1278.3,p
404,417,Phillips Carbon,4149.67,1278.3,p
405,418,Allahabad Bank,4137.11,4243.83,p
406,419,Welspun Corp,4103.05,2304.16,p
407,420,NESCO,4093.02,1278.3,p
408,421,CARE Ratings,4090.69,1278.3,p
409,422,JP Associates,4074.37,1278.3,p
410,423,Andhra Bank,4067.25,4549.26,p
411,424,Zensar Tech.,4066.42,793.76,p
412,425,S H Kelkar & Co.,4057.34,283.12,p
413,426,Mahindra Holiday,4030.35,267.54,p
414,427,Sintex Plastics,4022.02,1332.73,p
415,428,SREI Infra. Fin.,4009.63,1405.19,p
416,429,Techno Elec.,3975.44,275.64,p
417,430,Minda Corp,3974.83,1278.3,p
418,431,HMT,3973.5,1278.3,p
419,432,KPIT Tech.,3927.26,912.77,p
420,433,Triveni Turbine,3910.17,165.59,p
421,434,Shankara Build.,3901.07,624.62,p
422,435,Multi Comm. Exc.,3847.19,1278.3,p
423,436,Brigade Enterpr.,3846.15,423.91,p
424,437,Gayatri Projects,3835.73,1278.3,p
425,438,Magma Fincorp,3826.83,580.58,p
426,439,VRL Logistics,3824.69,489.34,p
427,440,ICRA,3809,1278.3,p
428,441,Shriram Pistons,3804.58,1278.3,p
429,442,IFCI,3789.45,1278.3,p
430,443,Suprajit Engg.,3777.26,366.29,p
431,444,J & K Bank,3775.5,1682.97,p
432,445,Navin Fluo.Intl.,3769.26,221.45,p
433,446,Karnataka Bank,3765.74,1332.24,p
434,447,Shilpa Medicare,3764.1,185.53,p
435,448,Kushal,3761.86,578.18,p
436,449,Venky's (India),3760.61,695.85,p
437,450,Force Motors,9885.05,1278.3,q
438,451,CCL Products,3748.73,273.99,p
439,452,Excel Crop Care,3734.06,258.65,p
440,453,Trident,3722.6,1137.17,p
441,454,Corporation Bank,3716.46,4387.85,p
442,455,Rane Holdings,3711.8,593.74,p
443,456,Team Lease Serv.,3677.34,918.06,p
444,457,Oriental Bank,3674.6,4262.08,p
445,458,I T D C,3619.04,102.14,p
446,459,JP Power Ven.,3597.6,1278.3,p
447,460,S C I,3582,879.56,p
448,461,JK Tyre & Indust,3577.98,2123.24,p
449,462,Deepak Nitrite,3531.9,371.14,p
450,463,Heidelberg Cem.,3531.77,491.23,p
451,464,Amber Enterp.,3529.87,1278.3,p
452,465,Sharda Cropchem,3528.07,325.46,p
453,466,Dixon Technolog.,3526.8,677.8,p
454,467,Himatsing. Seide,3511.08,595.61,p
455,468,La Opala RG,3510.93,69.77,p
456,469,H F C L,3482.71,714.42,p
457,470,Reliance Home,3470.6,403,p
458,471,Rupa & Co,3460.91,277.96,p
459,472,Hind.Construct.,3452.57,1278.3,p
460,473,Ent.Network,3380.99,148.42,p
461,474,Supreme Petroch.,3377.57,725.02,p
462,475,MAS FINANC SER,3376.2,112.05,p
463,476,Thyrocare Tech.,3374.38,77.84,p
464,477,Prakash Inds.,3336.05,725.97,p
465,478,Repco Home Fin,3331.08,277.48,p
466,479,Sonata Software,3329.58,766.75,p
467,480,Central Dep. Ser,3316.31,47.24,p
468,481,Puravankara,3274.9,440.09,p
469,482,Tejas Networks,3209.89,229.87,p
470,483,ITD Cem,3192.67,472.98,p
471,484,Hathway Cable,3189.1,138.65,p
472,485,Dhanuka Agritech,3188.62,221.51,p
473,486,Mahindra Logis.,3187.51,835.06,p
474,487,Heritage Foods,3185.45,581.74,p
475,488,Mah. Seamless,3164.73,563.66,p
476,489,Navneet Educat.,3148.36,174.41,p
477,490,Firstsour.Solu.,3139.94,887.24,p
478,491,Kaveri Seed Co.,3125.83,70.64,p
479,492,Star Ferro Cem.,3115.98,393.49,p
480,493,Deepak Fert.,3079.06,1644.92,p
481,494,Va Tech Wabag,3041.93,460.89,p
482,495,Prime Focus,3031.5,609.61,p
483,496,Lak. Vilas Bank,3029.57,790.17,p
484,497,NOCIL,3026.26,249.27,p
485,498,Orient Cement,3024.32,511.53,p
486,499,Natl.Fertilizer,3017.07,2840.75,p
487,500,L T Foods,9885.05,1278.3,q
